English,German
the,Die
I,ICH
and,Und
to,Zu
you,Du
a,A
of,von
my,Mein
in,In
that,Das
me,Mich
it,Es
is,Ist
but,Aber
for,für
your,dein
with,mit
be,Sei
so,Also
was,War
her,ihr
as,als
on,An
all,alle
she,sie
not,nicht
he,Er
this,Das
we,Wir
like,wie
are,Sind
have,haben
just,Nur
love,Liebe
what,Was
one,eins
I'm,Ich bin
know,wissen
no,NEIN
when,Wann
his,sein
at,bei
they,Sie
from,aus
will,Wille
do,Tun
never,niemals
don't,nicht
can,dürfen
up,hoch
want,wollen
see,sehen
go,gehen
time,Zeit
now,Jetzt
out,aus
if,Wenn
feel,fühlen
or,oder
by,von
there,Dort
life,Leben
it's,es ist
make,machen
how,Wie
would,würde
look,sehen
eye,Auge
because,Weil
could,könnte
say,sagen
day,Tag
who,WHO
get,erhalten
had,hatte
were,war
down,runter
only,nur
our,unser
think,denken
heart,Herz
back,zurück
then,Dann
into,hinein
am,Bin
come,kommen
about,um
him,ihn
more,mehr
away,weg
can't,kippen
still,Trotzdem
their,ihre
way,Weg
an,ein
them,ihnen
why,Warum
take,nehmen
thing,Ding
even,sogar
through,durch
long,lang
let,lassen
us,uns
always,stets
you're,du bist
world,Welt
too,zu
friend,Freund
tell,erzählen
I'll,Krank
try,versuchen
hand,Hand
has,hat
face,Gesicht
did,tat
thought,Gedanke
over,über
here,Hier
word,Wort
other,andere
where,Wo
every,jeden
need,brauchen
smile,lächeln
again,wieder
much,viel
cry,weinen
been,gewesen
night,Nacht
its,es ist
ever,immer
little,wenig
said,sagte
end,Ende
some,manche
than,als
live,live
fall,fallen
those,diese
pain,Schmerz
around,um
mind,Geist
people,Menschen
girl,Mädchen
leave,verlassen
dream,Traum
left,links
turn,drehen
myself,ich selbst
right,Rechts
tear,Träne
head,Kopf
give,geben
nothing,Nichts
really,Wirklich
off,aus
before,Vor
something,etwas
find,finden
hold,halten
man,Mann
walk,gehen
wish,Wunsch
good,Gut
once,einmal
I've,Ich habe
place,Ort
light,Licht
call,Anruf
ask,fragen
lie,Lüge
stop,stoppen
that's,das ist
hear,hören
keep,halten
watch,betrachten
seem,erscheinen
year,Jahr
sit,sitzen
die,sterben
everything,alles
without,ohne
though,obwohl
lost,verloren
these,diese
wait,Warten
got,bekommen
care,Pflege
yet,noch
made,gemacht
remember,erinnern
start,Start
alone,allein
which,welche
last,zuletzt
run,laufen
didn't,nicht
hope,Hoffnung
maybe,Vielleicht
believe,glauben
body,Körper
hate,hassen
after,nach
until,bis
close,schließen
talk,sprechen
hard,hart
stand,Stand
old,alt
own,eigen
each,jede
well,Also
hurt,verletzt
while,während
help,helfen
home,heim
god,Gott
soul,Seele
new,neu
many,viele
two,zwei
oh,Oh
told,erzählt
won't,Gewohnheit
inside,innen
I'd,Ausweis
should,sollen
TRUE,WAHR
move,bewegen
first,Erste
fear,Furcht
mean,bedeuten
better,besser
may,Mai
play,spielen
another,ein anderer
gone,gegangen
change,ändern
use,verwenden
wonder,Wunder
knew,wusste
same,Dasselbe
someone,jemand
hair,Haar
cold,kalt
open,offen
best,am besten
any,beliebig
behind,hinter
miss,vermissen
arm,Arm
happen,passieren
star,Stern
water,Wasser
dark,dunkel
laugh,lachen
stay,bleiben
forever,für immer
name,Name
she's,sie ist
work,arbeiten
show,zeigen
there's,Es gibt
sky,Himmel
break,brechen
far,weit
came,kam
deep,tief
door,Tür
put,setzen
room,Zimmer
black,Schwarz
together,zusammen
upon,auf
boy,Junge
happy,Glücklich
such,solch
great,Großartig
white,Weiß
doesn't,nicht
you'll,du wirst
does,tut
matter,Gegenstand
side,Seite
fill,füllen
past,Vergangenheit
fight,kämpfen
sun,Sonne
please,Bitte
burn,brennen
cause,Ursache
enough,genug
touch,berühren
cannot,kann nicht
moment,Moment
soon,bald
voice,Stimme
you've,Du hast
scream,Schrei
anything,irgendetwas
stare,starren
he's,er ist
most,am meisten
sound,Klang
red,Rot
everyone,alle
fuck,Scheiße
hide,verstecken
kiss,Kuss
truth,Wahrheit
death,Tod
beautiful,Schön
mine,meins
blood,Blut
broken,gebrochen
very,sehr
pass,passieren
next,nächste
forget,vergessen
tree,Baum
wrong,falsch
air,Luft
mother,Mutter
must,muss
done,Erledigt
found,gefunden
understand,verstehen
lip,Lippe
hit,Schlag
wall,Wand
couldn't,konnte nicht
else,anders
beat,schlagen
memory,Erinnerung
saw,gesehen
wind,Wind
sleep,schlafen
free,frei
high,hoch
realize,realisieren
school,Schule
bad,schlecht
late,spät
went,ging
felt,gefühlt
might,könnte
skin,Haut
sweet,süß
perfect,perfekt
blue,Blau
kill,töten
breath,Atem
dance,tanzen
rain,Regen
dead,tot
against,gegen
fly,Fliege
between,zwischen
grow,wachsen
strong,stark
car,Auto
took,nahm
under,unter
listen,Hören
bring,bringen
full,voll
sometimes,Manchmal
speak,sprechen
big,groß
pull,ziehen
person,Person
become,werden
family,Familie
part,Teil
begin,beginnen
ground,Boden
real,real
small,klein
father,Vater
sure,Sicher
hell,Hölle
kind,Art
bed,Bett
feet,Füße
rest,ausruhen
young,jung
finally,Endlich
land,Land
across,über
today,Heute
seen,gesehen
different,anders
guy,Kerl
line,Linie
fire,Feuer
reason,Grund
isn't,nicht
lay,legen
reach,erreichen
we're,war
second,zweite
wouldn't,würde nicht
slowly,langsam
write,schreiben
ear,Ohr
eat,essen
sing,singen
smell,Geruch
mouth,Mund
step,Schritt
learn,lernen
three,drei
gave,gab
set,Satz
floor,Boden
promise,versprechen
breathe,atmen
darkness,Dunkelheit
push,drücken
earth,Erde
guess,erraten
save,speichern
song,Lied
till,bis
above,über
along,entlang
both,beide
what's,Was ist
color,Farbe
house,Haus
almost,fast
sorry,Entschuldigung
anymore,mehr
yes,Ja
brother,Bruder
okay,Okay
dear,Liebling
game,Spiel
fade,verblassen
already,bereits
apart,auseinander
warm,warm
beauty,Schönheit
heard,gehört
notice,beachten
question,Frage
shine,scheinen
began,begann
piece,Stück
whole,ganz
shadow,Schatten
secret,Geheimnis
street,Straße
within,innerhalb
finger,Finger
point,Punkt
morning,Morgen
whisper,flüstern
child,Kind
fun,Spaß
moon,Mond
green,Grün
read,lesen
story,Geschichte
wasn't,war nicht
glass,Glas
kid,Kind
lose,verlieren
silence,Schweigen
pick,wählen
cut,schneiden
fast,schnell
since,seit
soft,weich
yourself,selbst
empty,leer
shall,soll
angel,Engel
answer,Antwort
baby,Baby
bright,hell
dad,Papa
path,Weg
worry,Sorge
hour,Stunde
drop,fallen
fell,fällen
you'd,du würdest
follow,folgen
power,Leistung
war,Krieg
half,Hälfte
flow,fließen
heaven,Himmel
wake,aufwachen
act,Akt
chance,Chance
fact,Tatsache
least,am wenigsten
tired,müde
children,Kinder
near,nahe
quite,ganz
scare,Schrecken
afraid,besorgt
rise,erheben
sea,Meer
taste,schmecken
window,Fenster
cover,Abdeckung
nice,Hübsch
trust,Vertrauen
lot,viel
sad,traurig
cool,Cool
force,Gewalt
peace,Frieden
return,zurückkehren
wear,tragen
blind,blind
easy,einfach
ready,bereit
roll,rollen
rose,Rose
shit,Scheisse
drive,fahren
held,gehaltenen
music,Musik
share,Aktie
beneath,darunter
hang,aufhängen
mom,Mama
paint,malen
emotion,Emotion
quiet,ruhig
slow,langsam
we'll,Also
clear,klar
cloud,Wolke
few,wenige
pretty,hübsch
bird,Vogel
outside,draußen
paper,Papier
picture,Bild
front,Vorderseite
rock,Felsen
simple,einfach
top,Spitze
anyone,irgendjemand
meant,gemeint
reality,Wirklichkeit
road,Straße
sense,Sinn
waste,Abfall
bit,bisschen
leaf,Blatt
thank,Dank
happiness,Glück
meet,treffen
men,Männer
smoke,Rauch
truly,wirklich
decide,entscheiden
self,selbst
age,Alter
book,Buch
form,bilden
hot,heiß
alive,lebendig
carry,tragen
met,getroffen
escape,Flucht
damn,Verdammt
instead,stattdessen
shake,Shake
able,fähig
ice,Eis
minute,Minute
throw,werfen
catch,fangen
four,vier
leg,Bein
ring,Ring
ago,vor
course,Kurs
goodbye,Verabschiedung
lead,führen
poem,Gedicht
sick,krank
corner,Ecke
desire,Wunsch
fine,Bußgeld
gonna,wird
known,bekannt
problem,Problem
ran,rannte
remind,erinnern
shoulder,Schulter
suppose,vermuten
they're,Sie sind
toward,zu
wave,Welle
drink,trinken
jump,springen
woman,Frau
pretend,vorgeben
sister,Schwester
week,Woche
human,menschlich
joy,Freude
crack,Riss
dare,Wagen
grey,grau
pray,beten
surprise,Überraschung
dry,trocken
knee,Knie
less,weniger
ride,Fahrt
search,suchen
short,kurz
bleed,bluten
caught,erwischt
clean,sauber
embrace,umarmen
future,Zukunft
king,König
son,Sohn
sorrow,Kummer
chest,Brust
hug,Umarmung
remain,bleiben
sat,Sa
wing,Flügel
worth,Wert
blow,Schlag
daddy,Vati
final,Finale
parent,Elternteil
tight,eng
also,Auch
create,erstellen
lonely,einsam
onto,auf zu
safe,sicher
aren't,nicht
cross,kreuzen
dress,Kleid
evil,teuflisch
silent,still
bone,Knochen
brought,gebracht
fate,Schicksal
perhaps,vielleicht
anger,Wut
class,Klasse
scar,Narbe
sight,Sicht
snow,Schnee
tiny,winzig
tonight,heute Abend
wanna,will
continue,weitermachen
control,Kontrolle
dog,Hund
edge,Rand
fool,Narr
mirror,Spiegel
month,Monat
suddenly,plötzlich
comfort,Komfort
given,gegeben
loud,laut
quickly,schnell
gaze,Blick
plan,planen
rush,eilen
slip,Unterhose
stone,Stein
town,Stadt
ass,Arsch
battle,Schlacht
ignore,ignorieren
spirit,Geist
stood,stand
stupid,dumm
yours,dein
brown,braun
build,bauen
dust,Staub
food,Essen
hey,Hey
kept,gehalten
pay,zahlen
phone,Telefon
twist,Twist
although,Obwohl
ball,Ball
beyond,darüber hinaus
drown,ertrinken
fit,fit
hidden,versteckt
nose,Nase
taken,genommen
fail,scheitern
float,schweben
lock,sperren
pure,rein
sand,Sand
somehow,irgendwie
wash,waschen
wrap,wickeln
angry,wütend
cheek,Wange
creature,Kreatur
forgotten,Vergessene
heat,Hitze
hole,Loch
rip,Ruhe in Frieden
single,einzel
space,Raum
special,besonders
weak,schwach
whatever,was auch immer
yell,Schrei
anyway,Trotzdem
blame,beschuldigen
job,Arbeit
choose,wählen
country,Land
curse,Fluch
drift,Drift
echo,Echo
figure,Figur
gold,Gold
golden,golden
grew,wuchs
herself,Sie selber
laughter,Lachen
neck,Nacken
suffer,leiden
worse,schlechter
yeah,Ja
bear,tragen
disappear,verschwinden
foot,Fuß
forward,nach vorne
knife,Messer
mess,Durcheinander
nor,noch
race,Wettrennen
somewhere,irgendwo
stomach,Magen
storm,Sturm
beg,bitten
idea,Idee
lift,Aufzug
offer,Angebot
she'll,Hülse
tall,groß
breeze,Brise
field,Feld
five,fünf
often,oft
round,runden
simply,einfach
stuck,gesteckt
thin,dünn
win,gewinnen
allow,erlauben
confuse,verwechseln
enjoy,genießen
except,außer
flower,Blume
seek,suchen
strength,Stärke
calm,ruhig
grin,Grinsen
gun,Pistole
heavy,schwer
hill,hügel
himself,sich selbst
large,groß
ocean,Ozean
shoe,Schuh
sigh,seufzen
straight,gerade
summer,Sommer
tongue,Zunge
accept,akzeptieren
crazy,verrückt
everyday,täglich
exist,existieren
fake,gefälscht
grass,Gras
mistake,Fehler
sent,gesendet
shut,schließen
sin,Sünde
surround,umgeben
table,Tisch
ache,schmerzen
brain,Gehirn
destroy,zerstören
heal,heilen
nature,Natur
shout,schreien
sign,Zeichen
stain,Fleck
choice,Auswahl
doubt,zweifeln
glance,Blick
glow,glühen
mountain,Berg
queen,Königin
send,schicken
shot,Schuss
spent,ausgegeben
stranger,Fremder
throat,Kehle
tomorrow,morgen
city,Stadt
either,entweder
fish,Fisch
flame,Flamme
mad,verrückt
rather,eher
shape,Form
spin,drehen
spread,verbreiten
wide,breit
ash,Asche
distance,Distanz
fallen,gefallen
finish,beenden
image,Bild
imagine,vorstellen
important,wichtig
nobody,niemand
none,keiner
shatter,zerschmettern
warmth,Wärme
became,wurde
below,unten
bore,Bohrung
fat,fett
feed,füttern
flesh,Fleisch
funny,lustig
lust,Lust
shirt,Hemd
trouble,Problem
yellow,Gelb
attention,Aufmerksamkeit
bare,nackt
bite,beißen
cat,Katze
lack,Mangel
money,Geld
protect,schützen
we've,wir haben
ain't,Ich bin nicht
amaze,überraschen
appear,erscheinen
born,geboren
choke,Drossel
completely,vollständig
daughter,Tochter
fresh,frisch
friendship,Freundschaft
gentle,sanft
probably,wahrscheinlich
six,sechs
trap,fangen
beast,Tier
deserve,verdienen
expect,erwarten
grab,greifen
haven't,nicht
middle,Mitte
nightmare,Alptraum
river,Fluss
thousand,tausend
weight,Gewicht
worst,am schlimmsten
wound,Wunde
barely,kaum
bottle,Flasche
cream,Creme
lover,Liebhaber
low,niedrig
mile,Meile
regret,Reue
relationship,Beziehung
stick,Stock
test,prüfen
whose,wessen
crush,zerquetschen
endless,endlos
fault,Fehler
itself,selbst
rage,Wut
rule,Regel
spill,verschütten
art,Kunst
circle,Kreis
join,verbinden
kick,trete
mask,Maske
master,Meister
passion,Hingabe
quick,schnell
raise,erheben
smooth,glatt
unless,es sei denn
wander,wandern
actually,Genau genommen
broke,Pleite
chair,Stuhl
deal,handeln
favorite,Favorit
gift,Geschenk
note,Notiz
number,Nummer
shed,Baracke
suck,saugen
sweat,Schweiß
tale,Geschichte
bitch,Hündin
box,Kasten
chill,kühlen
clothes,Kleidung
hall,Saal
lady,Dame
mark,markieren
park,Park
poor,arm
sadness,Traurigkeit
tie,binden
animal,Tier
belong,gehören
brush,Bürste
consume,verbrauchen
dawn,Dämmerung
forest,Wald
grave,Grab
he'll,Hölle
innocent,unschuldig
pen,Stift
pride,Stolz
stream,Strom
thick,dick
weren't,war nicht
clay,Ton
complete,vollständig
count,zählen
draw,ziehen
faith,Glaube
he'd,er würde
let's,Lasst uns
press,Drücken Sie
silver,Silber
struggle,Kampf
surface,Oberfläche
taught,gelehrt
teach,unterrichten
wet,nass
bless,segnen
chase,Verfolgungsjagd
climb,steigen
enter,eingeben
letter,Brief
melt,schmelzen
metal,Metall
movie,Film
stretch,strecken
swing,schwingen
ten,zehn
vision,Vision
wife,Gattin
beside,neben
crash,Absturz
forgot,vergessen
guide,Führung
haunt,verfolgen
joke,Witz
knock,klopfen
plant,Anlage
pour,gießen
prove,beweisen
reveal,aufdecken
steal,stehlen
stuff,Sachen
trip,Reise
wood,Holz
wrist,Handgelenk
bother,sich kümmern
bottom,unten
crawl,kriechen
crowd,Menge
fix,Fix
forgive,verzeihen
frown,Stirnrunzeln
grace,Anmut
loose,lose
lucky,glücklich
party,Party
release,freigeben
seat,Sitz
surely,sicherlich
survive,überleben
teacher,Lehrer
gently,sanft
grip,Griff
speed,Geschwindigkeit
suicide,Selbstmord
travel,reisen
treat,behandeln
vein,Vene
written,geschrieben
cage,Käfig
chain,Kette
conversation,Gespräch
date,Datum
enemy,Feind
fair,gerecht
however,Jedoch
